"filename", "language", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "HTML", "JavaScript", "XML", "PostCSS", "Markdown", "comment", "blank", "total"
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\utils\uiUtils\PageWrapper.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\utils\uiUtils\generateWrapped.tsx", "TypeScript JSX", 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 13, 172
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\utils\uiUtils\sentimentScale.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\utils\uiUtils\timeFilterUtils.ts", "TypeScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 10, 97
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\utils\uiUtils\wrappedStats.ts", "TypeScript", 0, 276, 0, 0, 0, 0, 0, 0, 0, 6, 26, 308
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\wasm\acAutomaton.ts", "TypeScript", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 13, 88
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\src\wasm\byteScanner.ts", "TypeScript", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 16, 98
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\tsconfig.app.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 28
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\tsconfig.json", "JSON with Comments", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\tsconfig.node.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\vercel.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\tassm\Downloads\New folder (103)\DIsc-Data-Viewer\vite.config.ts", "TypeScript", 0, 313, 0, 0, 0, 0, 0, 0, 0, 24, 34, 371
"Total", "-", 5552, 6972, 11, 5095, 34, 113, 16, 79, 19, 116, 1213, 19220
